Mã công ty,Năm,Lợi nhuận gộp,Tổng cộng tài sản/Tổng tài sản,Tổng nợ phải trả,Nợ ngắn hạn,Nợ dài hạn,Doanh thu thuần,Lưu chuyển tiền tệ từ hoạt động kinh doanh,Lưu chuyển tiền tệ từ hoạt động đầu tư,Lưu chuyển tiền tệ từ hoạt động tài chính,Gross Profit Margin,Net Profit Margin,OPM,Debt-to-Asset
AAA,2021,1300000000000.00,10000000000000.00,4560000000000.00,3280000000000.00,1270000000000.00,13100000000000.00,444000000000.00,-150000000000.00,739000000000.00,0.10,0.02,0.03,0.46
AAA,2022,1090000000000.00,10800000000000.00,4620000000000.00,3210000000000.00,1420000000000.00,15300000000000.00,97095210426.00,-1090000000000.00,631000000000.00,0.07,0.01,0.01,0.43
AAA,2023,1110000000000.00,11600000000000.00,5620000000000.00,3740000000000.00,1880000000000.00,12600000000000.00,2620000000000.00,-1600000000000.00,-236000000000.00,0.09,0.02,0.03,0.49
AAA,2024,1480000000000.00,13800000000000.00,7530000000000.00,4130000000000.00,3400000000000.00,12800000000000.00,959000000000.00,-1420000000000.00,423000000000.00,0.12,0.03,0.04,0.55
AAA,2025,1490000000000.00,12900000000000.00,6810000000000.00,3280000000000.00,3530000000000.00,10700000000000.00,978000000000.00,-1510000000000.00,-287000000000.00,0.14,0.04,0.05,0.53
ABS,2021,58431462035.00,1590000000000.00,667000000000.00,666000000000.00,392500000.00,1200000000000.00,-563000000000.00,21487831260.00,542000000000.00,0.05,0.05,0.07,0.42
ABS,2022,87751610949.00,1670000000000.00,764000000000.00,762000000000.00,1177500000.00,1610000000000.00,-60702561918.00,-2050710512.00,63085417000.00,0.05,0.01,0.02,0.46
ABS,2023,38697973956.00,1580000000000.00,665000000000.00,664000000000.00,937500000.00,1030000000000.00,-455000000000.00,434000000000.00,18500844157.00,0.04,0.01,0.02,0.42
ABS,2024,6033564784.00,1000000000000.00,85186545200.00,84489045200.00,697500000.00,396000000000.00,461000000000.00,71041068502.00,-533000000000.00,0.02,0.01,0.03,0.09
ABS,2025,6025548231.00,489000000000.00,87371292237.00,86911292237.00,460000000.00,170000000000.00,-3082896479.00,150441014.00,4083717723.00,0.04,-3.03,-3.02,0.18
